ray|circle|0|0.400000006 0 1 0 1 0 1
ray|capsule|0|0.449999988 -0 1 0 0.5 0 1
ray|segment|0|0.5 -0 1 0 0 0 1
ray|polygon|0|0.400000006 0 1 0 0.99999994 0 1
ray|circle|1|0.413397461 -0.866025448 0.5 -0.866025448 0.5 0 1
ray|capsule|1|0 0 0 0 0 0 0
ray|segment|1|0 0 0 0 0 0 0
ray|polygon|1|0.400000006 -1 0 -0.99999994 0.5 0 1
ray|circle|2|0 0 0 0 0 0 0
ray|capsule|2|0 0 0 0 0 0 0
ray|segment|2|0 0 0 0 0 0 0
ray|polygon|2|0 0 0 0 0 0 0
ray|circle|3|0 0 0 0 0 0 1
ray|capsule|3|0 0 0 0 0 0 1
ray|segment|3|-0 0 -1 0 0 0 1
ray|polygon|3|0 0 0 0 0 0 1
ray|circle|4|0.166666672 0 1 0 1 0 1
ray|capsule|4|0.25 -0 1 0 0.5 0 1
ray|segment|4|0 0 0 0 0 0 0
ray|polygon|4|0.166666672 0 1 0 1 0 1
